生<div class="hint">raw; uncooked; fresh; natural</div>,なま,raw; uncooked; fresh; natural,<ruby>彼<rt>かれ</rt></ruby>は <ruby>生<rt>なま</rt></ruby>の <ruby>魚<rt>さかな</rt></ruby>が <ruby>食<rt>た</rt></ruby>べられません。,He can't eat raw fish.
流れる<div class="hint">to flow (liquid; time; etc.); to be washed away; to be broadcast; to circulate</div>,ながれる,to flow (liquid; time; etc.); to be washed away; to be broadcast; to circulate,ラジオから <ruby>美<rt>うつく</rt></ruby>しい <ruby>音楽<rt>おんがく</rt></ruby>が <ruby>流<rt>なが</rt></ruby>れています。,Beautiful music is coming out from the radio.
海外<div class="hint">foreign; overseas</div>,かいがい,foreign; overseas,<ruby>彼<rt>かれ</rt></ruby>は <ruby>海外<rt>かいがい</rt></ruby>での <ruby>生活<rt>せいかつ</rt></ruby>が <ruby>長<rt>なが</rt></ruby>いです。,He's lived abroad for a long time.
消費<div class="hint">consumption; expenditure</div>,しょうひ,consumption; expenditure,<ruby>日本<rt>にっぽん</rt></ruby>は <ruby>消費<rt>しょうひ</rt></ruby> <ruby>大国<rt>たいこく</rt></ruby>と <ruby>言<rt>い</rt></ruby>われています。,It is said that Japan is a country of great consumption.
消防<div class="hint">fire fighting</div>,しょうぼう,fire fighting,<ruby>消防<rt>しょうぼう</rt></ruby> <ruby>士<rt>し</rt></ruby>は <ruby>勇敢<rt>ゆうかん</rt></ruby>でなければならない。,Fire fighters must be brave.
混乱<div class="hint">disorder; confusion</div>,こんらん,disorder; confusion,<ruby>地震<rt>じしん</rt></ruby>のあと、 <ruby>町<rt>まち</rt></ruby>は <ruby>大<rt>だい</rt></ruby> <ruby>混乱<rt>こんらん</rt></ruby>だったよ。,After the earthquake; the town was in great chaos.
混雑<div class="hint">crowding; confusion; disorder</div>,こんざつ,crowding; confusion; disorder,<ruby>今日<rt>きょう</rt></ruby>はデパートが <ruby>混雑<rt>こんざつ</rt></ruby>していたよ。,The department store was crowded today.
清潔<div class="hint">clean; sanitary</div>,せいけつ,clean; sanitary,レストランは <ruby>清潔<rt>せいけつ</rt></ruby>が <ruby>第<rt>だい</rt></ruby> <ruby>一<rt>いち</rt></ruby>です。,Cleanliness is the most important thing in any restaurants.
済ませる<div class="hint">to finish</div>,すませる,to finish,<ruby>昼<rt>ひる</rt></ruby>ごはんは <ruby>簡単<rt>かんたん</rt></ruby>に <ruby>済<rt>す</rt></ruby>ませましょう。,Let's have a quick lunch.
渋滞<div class="hint">congestion (e.g. traffic); stagnation</div>,じゅうたい,congestion (e.g. traffic); stagnation,この <ruby>国道<rt>こくどう</rt></ruby>はよく <ruby>渋滞<rt>じゅうたい</rt></ruby>します。,This national highway is often backed up.
減らす<div class="hint">to decrease; to diminish</div>,へらす,to decrease; to diminish,<ruby>最近<rt>さいきん</rt></ruby>、 <ruby>食事<rt>しょくじ</rt></ruby>を <ruby>減<rt>へ</rt></ruby>らしています。,I've been eating less recently.
温度<div class="hint">temperature</div>,おんど,temperature,<ruby>今<rt>いま</rt></ruby>、 <ruby>部屋<rt>へや</rt></ruby>の <ruby>温度<rt>おんど</rt></ruby>は２５ <ruby>度<rt>ど</rt></ruby>だ。,This room's temperature is currently 25 degrees.
湾<div class="hint">bay; gulf; inlet</div>,わん,bay; gulf; inlet,<ruby>東京<rt>とうきょう</rt></ruby> <ruby>湾<rt>わん</rt></ruby>は <ruby>重要<rt>じゅうよう</rt></ruby>な <ruby>役割<rt>やくわり</rt></ruby>を <ruby>果<rt>は</rt></ruby>たしている。,Tokyo Bay plays an important role.
満ちる<div class="hint">to be full; to mature; to expire</div>,みちる,to be full; to mature; to expire,<ruby>月<rt>つき</rt></ruby>が <ruby>満<rt>み</rt></ruby>ちてきましたね。,The moon is waxing.
おぼれる<div class="hint">to drown; to sink below the surface</div>,おぼれる,to drown; to sink below the surface,,
滞在<div class="hint">stay; sojourn</div>,たいざい,stay; sojourn,<ruby>日本<rt>にっぽん</rt></ruby>では <ruby>北海道<rt>ほっかいどう</rt></ruby>に <ruby>滞在<rt>たいざい</rt></ruby>しました。,I stayed in Hokkaido when I went to Japan.
演説<div class="hint">speech; address</div>,えんぜつ,speech; address,<ruby>彼<rt>かれ</rt></ruby>は <ruby>地方<rt>ちほう</rt></ruby>で <ruby>演説<rt>えんぜつ</rt></ruby>したのよ。,He made a speech in the provinces.
濃い<div class="hint">deep; strong (flavour; smell; etc.); thick (consistency)</div>,こい,deep; strong (flavour; smell; etc.); thick (consistency),<ruby>私<rt>わたし</rt></ruby>は <ruby>濃<rt>こ</rt></ruby>い <ruby>味<rt>あじ</rt></ruby>が <ruby>好<rt>す</rt></ruby>きだ。,I like strong tastes.
火災<div class="hint">conflagration; fire</div>,かさい,conflagration; fire,<ruby>火災<rt>かさい</rt></ruby>の <ruby>原因<rt>げんいん</rt></ruby>は <ruby>放火<rt>ほうか</rt></ruby>だそうです。,I heard that arson was the cause of the fire.
灯<div class="hint">lamp; torch</div>,ひ,lamp; torch,<ruby>飛行機<rt>ひこうき</rt></ruby>から <ruby>町<rt>まち</rt></ruby>の <ruby>灯<rt>ひ</rt></ruby>が <ruby>見<rt>み</rt></ruby>えます。,The town lights can be seen from the airplane.
灰<div class="hint">ashes</div>,はい,ashes,<ruby>火事<rt>かじ</rt></ruby>ですべて <ruby>灰<rt>はい</rt></ruby>になった。,Everything turned into ashes in the fire.
炎<div class="hint">flame; blaze</div>,ほのお,flame; blaze,ろうそくの <ruby>炎<rt>ほのお</rt></ruby>が <ruby>部屋<rt>へや</rt></ruby>を <ruby>照<rt>て</rt></ruby>らしたんだ。,The candle flame lit the room.
無事<div class="hint">safety; peace</div>,ぶじ,safety; peace,<ruby>無事<rt>ぶじ</rt></ruby>、 <ruby>家<rt>いえ</rt></ruby>に <ruby>着<rt>つ</rt></ruby>きました。,I arrived home safely.
煙<div class="hint">smoke</div>,けむり,smoke,<ruby>煙突<rt>えんとつ</rt></ruby>から <ruby>煙<rt>けむり</rt></ruby>がまっすぐ <ruby>上<rt>あが</rt></ruby>っていたの。,Smoke was rising straight up from the chimney.
熱帯<div class="hint">tropics</div>,ねったい,tropics,<ruby>店<rt>みせ</rt></ruby>に <ruby>熱帯<rt>ねったい</rt></ruby>の <ruby>果物<rt>くだもの</rt></ruby>が <ruby>並<rt>なら</rt></ruby>んでいますよ。,There are tropical fruits lining up in the shop.
爆発<div class="hint">explosion; detonation</div>,ばくはつ,explosion; detonation,ダイナマイトが <ruby>爆発<rt>ばくはつ</rt></ruby>したんだ。,The dynamite exploded.
父親<div class="hint">father</div>,ちちおや,father,<ruby>彼<rt>かれ</rt></ruby>の <ruby>父親<rt>ちちおや</rt></ruby>は <ruby>先生<rt>せんせい</rt></ruby>です。,His father is a teacher.
牛<div class="hint">cow; bull</div>,うし,cow; bull,<ruby>牛<rt>うし</rt></ruby>が <ruby>草<rt>くさ</rt></ruby>を <ruby>食<rt>た</rt></ruby>べています。,The cow is eating grass.
物事<div class="hint">things</div>,ものごと,things,<ruby>彼<rt>かれ</rt></ruby>はいつも <ruby>物事<rt>ものごと</rt></ruby>を <ruby>深<rt>ふか</rt></ruby>く <ruby>考<rt>かんが</rt></ruby>えるの。,He always thinks deeply about things.
物価<div class="hint">prices (in general; of commodities)</div>,ぶっか,prices (in general; of commodities),この <ruby>国<rt>くに</rt></ruby>の <ruby>物価<rt>ぶっか</rt></ruby>はここ１０ <ruby>年<rt>ねん</rt></ruby>でだいぶ <ruby>上<rt>あ</rt></ruby>がったね。,Prices in this country have gone up considerably over the last ten years.
物語<div class="hint">tale; story</div>,ものがたり,tale; story,<ruby>私<rt>わたし</rt></ruby>は <ruby>冒険<rt>ぼうけん</rt></ruby>の <ruby>物語<rt>ものがたり</rt></ruby>が <ruby>大好<rt>だいす</rt></ruby>きです。,I love adventure stories.
物質<div class="hint">material; substance; matter</div>,ぶっしつ,material; substance; matter,この <ruby>製品<rt>せいひん</rt></ruby>は <ruby>有害<rt>ゆうがい</rt></ruby>な <ruby>化学<rt>かがく</rt></ruby> <ruby>物質<rt>ぶっしつ</rt></ruby>を <ruby>含<rt>ふく</rt></ruby>んでいるわよ。,This product contains a harmful substance.
物音<div class="hint">sounds</div>,ものおと,sounds,<ruby>物音<rt>ものおと</rt></ruby>がしたので <ruby>見<rt>み</rt></ruby>に <ruby>行<rt>い</rt></ruby>った。,I heard a noise; so I went to look.
特徴<div class="hint">trait; characteristic</div>,とくちょう,trait; characteristic,この <ruby>曲線<rt>きょくせん</rt></ruby>がこの <ruby>車<rt>くるま</rt></ruby>の <ruby>特徴<rt>とくちょう</rt></ruby>です。,These curves are a unique feature of this car.
犯罪<div class="hint">crime; offence</div>,はんざい,crime; offence,<ruby>最近<rt>さいきん</rt></ruby> <ruby>犯罪<rt>はんざい</rt></ruby>が <ruby>減<rt>へ</rt></ruby>っています。,Crime has been decreasing lately.
状況<div class="hint">situation; circumstances</div>,じょうきょう,situation; circumstances,この <ruby>状況<rt>じょうきょう</rt></ruby>では <ruby>出発<rt>しゅっぱつ</rt></ruby>は <ruby>難<rt>むずか</rt></ruby>しいです。,It's difficult to depart under these conditions.
狂う<div class="hint">to go mad; to get out of order</div>,くるう,to go mad; to get out of order,この <ruby>時計<rt>とけい</rt></ruby>はすぐ <ruby>狂<rt>くる</rt></ruby>うの。,This clock often gets out of whack.
独特<div class="hint">peculiarity; uniqueness</div>,どくとく,peculiarity; uniqueness,<ruby>彼<rt>かれ</rt></ruby>の <ruby>服<rt>ふく</rt></ruby>のセンスは <ruby>独特<rt>どくとく</rt></ruby>よね。,He has a unique sense of style.
独立<div class="hint">independence; self-support</div>,どくりつ,independence; self-support,<ruby>先日<rt>せんじつ</rt></ruby> <ruby>会社<rt>かいしゃ</rt></ruby>から <ruby>独立<rt>どくりつ</rt></ruby>しました。,I left the company the other day and started my own independent business.
率<div class="hint">ratio; proportion; percentage</div>,りつ,ratio; proportion; percentage,その <ruby>手術<rt>しゅじゅつ</rt></ruby>の <ruby>成功<rt>せいこう</rt></ruby> <ruby>率<rt>りつ</rt></ruby>は９０％だそうです。,The success rate of the operation is said to be 90 %.
王子<div class="hint">prince</div>,おうじ,prince,その <ruby>王子<rt>おうじ</rt></ruby>は <ruby>国民<rt>こくみん</rt></ruby>に <ruby>愛<rt>あい</rt></ruby>されている。,The prince is loved by the people.
現れ<div class="hint">manifestation; materialization; expression</div>,あらわれ,manifestation; materialization; expression,それは <ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>期待<rt>きたい</rt></ruby>の <ruby>現<rt>あらわ</rt></ruby>れです。,It's an indication of her expectation.
現れる<div class="hint">to appear; to become visible</div>,あらわれる,to appear; to become visible,<ruby>雲<rt>くも</rt></ruby>の <ruby>間<rt>あいだ</rt></ruby>から <ruby>太陽<rt>たいよう</rt></ruby>が <ruby>現<rt>あらわ</rt></ruby>れました。,The sun appeared between the clouds.
現代<div class="hint">nowadays; modern times</div>,げんだい,nowadays; modern times,<ruby>現代<rt>げんだい</rt></ruby>の <ruby>科学<rt>かがく</rt></ruby>の <ruby>進歩<rt>しんぽ</rt></ruby>には <ruby>驚<rt>おどろ</rt></ruby>くよ。,The advancement of modern science will surprise you.
現状<div class="hint">present condition</div>,げんじょう,present condition,<ruby>問題<rt>もんだい</rt></ruby>を <ruby>解決<rt>かいけつ</rt></ruby>できないのが <ruby>現状<rt>げんじょう</rt></ruby>です。,The current situation is that we can't solve the problem.
現象<div class="hint">phenomenon</div>,げんしょう,phenomenon,<ruby>村<rt>むら</rt></ruby>では <ruby>最近<rt>さいきん</rt></ruby>、 <ruby>不思議<rt>ふしぎ</rt></ruby>な <ruby>現象<rt>げんしょう</rt></ruby>が <ruby>起<rt>お</rt></ruby>きています。,Mysterious phenomena have occurred in the village recently.
現金<div class="hint">cash</div>,げんきん,cash,<ruby>代金<rt>だいきん</rt></ruby>は <ruby>現金<rt>げんきん</rt></ruby>でお <ruby>願<rt>ねが</rt></ruby>いします。,Please pay in cash.
環境<div class="hint">environment</div>,かんきょう,environment,<ruby>引<rt>ひ</rt></ruby>っ <ruby>越<rt>こ</rt></ruby>して <ruby>環境<rt>かんきょう</rt></ruby>が <ruby>変<rt>か</rt></ruby>わりました。,My environment has changed since I moved.
瓶<div class="hint">bottle; jar</div>,びん,bottle; jar,<ruby>瓶<rt>びん</rt></ruby>ビールを <ruby>注文<rt>ちゅうもん</rt></ruby>した。,I ordered a bottle of beer.
生き物<div class="hint">living thing</div>,いきもの,living thing,<ruby>生<rt>い</rt></ruby>き <ruby>物<rt>もの</rt></ruby>を <ruby>大切<rt>たいせつ</rt></ruby>にしましょう。,Let's care about living things.
生じる<div class="hint">to produce; to yield | to result from</div>,しょうじる,to produce; to yield | to result from,<ruby>両者<rt>りょうしゃ</rt></ruby>の <ruby>間<rt>あいだ</rt></ruby>に <ruby>摩擦<rt>まさつ</rt></ruby>が <ruby>生<rt>しょう</rt></ruby>じています。,There is some friction occurring between the two of them.
生まれ<div class="hint">birth; birthplace</div>,うまれ,birth; birthplace,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>京都<rt>きょうと</rt></ruby>の <ruby>生<rt>う</rt></ruby>まれです。,She was born in Kyoto.
生命<div class="hint">life</div>,せいめい,life,<ruby>生命<rt>せいめい</rt></ruby>は <ruby>海<rt>うみ</rt></ruby>から <ruby>始<rt>はじ</rt></ruby>まったと <ruby>言<rt>い</rt></ruby>われている。,Life is said to have started in the sea.
用いる<div class="hint">to use; to utilize</div>,もちいる,to use; to utilize,<ruby>彼<rt>かれ</rt></ruby>はその <ruby>詩<rt>し</rt></ruby>を <ruby>用<rt>もち</rt></ruby>いて <ruby>自分<rt>じぶん</rt></ruby>の <ruby>気持<rt>きも</rt></ruby>ちを <ruby>伝<rt>つた</rt></ruby>えた。,He conveyed his feelings through the poem.
用心<div class="hint">care; caution</div>,ようじん,care; caution,<ruby>夜道<rt>よみち</rt></ruby>は <ruby>用心<rt>ようじん</rt></ruby>して <ruby>歩<rt>ある</rt></ruby>きましょう。,Be careful when walking at night.
申し訳<div class="hint">apology; excuse</div>,もうしわけ,apology; excuse,<ruby>申<rt>もう</rt></ruby>し <ruby>訳<rt>わけ</rt></ruby>ございません。,I'm truly sorry.
申し込む<div class="hint">to apply for</div>,もうしこむ,to apply for,<ruby>彼女<rt>かのじょ</rt></ruby>はそのセミナーに <ruby>申<rt>もう</rt></ruby>し <ruby>込<rt>こ</rt></ruby>んだ。,She registered for that workshop.
男子<div class="hint">young man</div>,だんし,young man,<ruby>男子<rt>だんし</rt></ruby>はこっちに <ruby>並<rt>なら</rt></ruby>んで。,Boys; you line up here.
画面<div class="hint">screen; picture</div>,がめん,screen; picture,テレビの <ruby>画面<rt>がめん</rt></ruby>が <ruby>明<rt>あか</rt></ruby>るすぎる。,The TV screen is too bright.
畑<div class="hint">field; cultivated land</div>,はたけ,field; cultivated land,<ruby>母<rt>はは</rt></ruby>は <ruby>畑<rt>はたけ</rt></ruby> <ruby>仕事<rt>しごと</rt></ruby>が <ruby>好<rt>す</rt></ruby>きだ。,My mother likes working in the field.
留める<div class="hint">to stop; to keep (in position; in place); to limit</div>,とどめる,to stop; to keep (in position; in place); to limit,あなたの <ruby>言葉<rt>ことば</rt></ruby>を <ruby>心<rt>こころ</rt></ruby>に <ruby>留<rt>と</rt></ruby>めておきます。,I will keep your words in my heart.
留学<div class="hint">studying abroad</div>,りゅうがく,studying abroad,１ <ruby>年間<rt>ねんかん</rt></ruby>、アメリカに <ruby>留学<rt>りゅうがく</rt></ruby>しました。,I went to study in the United States for a year.
異なる<div class="hint">to differ</div>,ことなる,to differ,<ruby>彼<rt>かれ</rt></ruby>と <ruby>私<rt>わたし</rt></ruby>はいつも <ruby>意見<rt>いけん</rt></ruby>が <ruby>異<rt>こと</rt></ruby>なる。,He and I always have different opinions.
